,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list
1467,1467,2,1.0,[4],B,None,False
1468,1468,2,1.0,[4],B,None,False
1469,1469,2,0.9544340029249649,[5],A,None,False
1470,1470,2,0.9544340029249649,[5],A,B,False
1471,1471,2,0.8112781244591328,[5],A,B,False
1472,1472,2,0.5435644431995964,[5],B,A,False
1473,1473,2,0.9544340029249649,[5],B,None,False
1474,1474,2,0.8112781244591328,[5],A,B,False
1475,1475,2,0.8112781244591328,[5],A,B,False
1476,1476,1,0.8112781244591328,[3],B,A,True
1477,1477,2,0.9544340029249649,[5],B,A,False
1478,1478,2,1.0,[4],B,None,False
1479,1479,2,1.0,[4],None,None,False
1480,1480,2,0.9544340029249649,[5],B,A,False
1481,1481,2,0.9544340029249649,[5],B,None,False
1482,1482,2,0.9544340029249649,[5],B,None,False
1483,1483,2,1.0,[4],None,None,False
1484,1484,2,1.0,[4],None,None,False
1485,1485,2,0.9544340029249649,[5],B,A,False
1486,1486,2,1.0,[4],None,None,False
1487,1487,2,1.0,[4],None,None,False
1488,1488,2,0.8112781244591328,[5],B,None,False
1489,1489,2,1.0,[4],A,None,False
1490,1490,2,0.5435644431995964,[5],B,A,False
1491,1491,2,1.0,[4],None,None,False
1492,1492,2,1.0,[5],A,None,False
1493,1493,2,0.9544340029249649,[5],B,None,False
1494,1494,2,0.5435644431995964,[5],B,A,False
1495,1495,2,0.5435644431995964,[5],B,A,True
1496,1496,2,0.5435644431995964,[5],B,A,True
1497,1497,2,1.0,[4],B,None,False
1498,1498,2,0.5435644431995964,[5],A,B,False
1499,1499,2,1.0,[4],None,None,False
1500,1500,2,1.0,[4],B,None,False
1501,1501,2,0.8112781244591328,[5],B,A,False
1502,1502,2,0.9544340029249649,[5],B,None,False
1503,1503,2,0.9544340029249649,[5],B,A,False
1504,1504,2,1.0,[4],None,None,False
1505,1505,2,0.5435644431995964,[5],A,B,False
1506,1506,2,1.0,[4],None,None,False
1507,1507,2,1.0,[4],None,None,False
1508,1508,2,0.8112781244591328,[5],A,B,False
1509,1509,2,0.5435644431995964,[5],B,A,False
1510,1510,2,1.0,[4],None,None,False
1511,1511,2,1.0,[4],None,None,False
1512,1512,2,0.5435644431995964,[5],A,B,False
1513,1513,2,1.0,[4],B,None,False
1514,1514,2,0.9544340029249649,[5],B,None,False
1515,1515,2,0.9544340029249649,[5],B,None,False
1516,1516,2,0.5435644431995964,[5],B,A,True
1517,1517,2,0.9544340029249649,[5],B,None,False
1518,1518,2,0.8112781244591328,[5],B,A,False
1519,1519,2,1.0,[4],None,None,False
1520,1520,2,0.9544340029249649,[5],B,A,False
1521,1521,2,1.0,[4],B,None,False
1522,1522,2,0.8112781244591328,[5],B,None,False
1523,1523,2,0.5435644431995964,[5],B,A,True
1524,1524,2,0.9544340029249649,[5],A,None,False
1525,1525,1,0.8112781244591328,[3],B,A,True
1526,1526,2,1.0,[4],None,None,False
1527,1527,2,1.0,[4],B,None,False
1528,1528,2,0.5435644431995964,[5],B,A,True
1529,1529,2,0.9544340029249649,[5],A,B,False
1530,1530,2,1.0,[4],None,None,False
1531,1531,2,0.5435644431995964,[5],B,A,False
1532,1532,2,1.0,[4],None,None,False
1533,1533,2,0.9544340029249649,[5],A,None,False
1534,1534,1,0.8112781244591328,[3],A,B,True
1535,1535,2,0.9544340029249649,[5],A,None,False
1536,1536,2,1.0,[4],None,None,False
1537,1537,2,1.0,[4],B,None,False
1538,1538,2,1.0,[4],A,None,False
1539,1539,2,1.0,[4],A,None,False
1540,1540,2,1.0,[4],A,None,False
1541,1541,2,1.0,[5],B,None,False
1542,1542,2,0.8112781244591328,[5],A,B,False
1543,1543,2,0.9544340029249649,[5],A,B,False
1544,1544,2,1.0,[4],A,None,False
1545,1545,2,1.0,[4],A,None,False
1546,1546,2,1.0,[4],A,None,False
1547,1547,2,1.0,[4],A,None,False
1548,1548,2,0.8112781244591328,[5],A,B,False
1549,1549,1,0.8112781244591328,[3],A,B,True
1550,1550,2,1.0,[4],None,None,False
1551,1551,2,1.0,[4],None,None,False
1552,1552,1,0.8112781244591328,[3],B,A,True
1553,1553,2,1.0,[4],None,None,False
1554,1554,2,0.9544340029249649,[5],A,None,False
1555,1555,2,1.0,[4],A,None,False
1556,1556,2,0.9544340029249649,[5],A,B,False
1557,1557,2,1.0,[4],A,None,False
1558,1558,2,0.5435644431995964,[5],A,B,False
1559,1559,2,1.0,[4],B,None,False
1560,1560,2,0.9544340029249649,[5],A,None,False
1561,1561,2,0.9544340029249649,[5],A,B,False
1562,1562,2,1.0,[4],A,None,False
1563,1563,2,0.9544340029249649,[5],B,A,False
1564,1564,2,0.9544340029249649,[5],B,A,False
1565,1565,2,0.9544340029249649,[5],A,None,False
1566,1566,2,0.5435644431995964,[5],A,B,True
1567,1567,2,0.9544340029249649,[5],A,None,False
1568,1568,2,0.9544340029249649,[5],B,None,False
1569,1569,2,1.0,[4],None,None,False
1570,1570,2,0.9544340029249649,[5],B,A,False
1571,1571,1,0.8112781244591328,[3],B,A,True
1572,1572,2,1.0,[4],None,None,False
1573,1573,2,1.0,[4],None,None,False
1574,1574,2,0.9544340029249649,[5],A,B,False
1575,1575,2,0.9544340029249649,[5],A,None,False
1576,1576,2,1.0,[5],B,None,False
1577,1577,2,1.0,[4],None,None,False
1578,1578,2,1.0,[4],None,None,False
1579,1579,2,0.9544340029249649,[5],A,B,False
1580,1580,2,0.9544340029249649,[5],A,B,False
1581,1581,2,0.9544340029249649,[5],B,None,False
1582,1582,2,1.0,[4],None,None,False
1583,1583,2,0.9544340029249649,[5],B,None,False
1584,1584,2,0.5435644431995964,[5],A,B,True
1585,1585,2,1.0,[4],None,None,False
1586,1586,2,1.0,[4],None,None,False
1587,1587,2,1.0,[4],None,None,False
1588,1588,2,0.5435644431995964,[5],A,B,False
1589,1589,2,0.8112781244591328,[5],B,A,False
1590,1590,2,0.9544340029249649,[5],A,None,False
1591,1591,2,0.5435644431995964,[5],B,A,False
1592,1592,2,0.9544340029249649,[5],B,A,False
1593,1593,2,0.9544340029249649,[5],A,B,False
1594,1594,2,1.0,[4],B,None,False
1595,1595,2,1.0,[4],B,None,False
1596,1596,1,0.8112781244591328,[3],B,A,True
1597,1597,2,0.5435644431995964,[5],A,B,True
1598,1598,2,0.9544340029249649,[5],A,None,False
1599,1599,2,0.5435644431995964,[5],A,B,False
1600,1600,2,1.0,[4],None,None,False
1601,1601,2,0.8112781244591328,[5],B,A,False
1602,1602,2,0.5435644431995964,[5],B,A,False
1603,1603,2,1.0,[4],B,None,False
1604,1604,2,1.0,[5],B,None,False
1605,1605,2,1.0,[5],A,None,False
1606,1606,2,1.0,[4],None,None,False
1607,1607,2,1.0,[4],A,None,False
1608,1608,2,1.0,[4],B,None,False
1609,1609,2,1.0,[4],B,None,False
1610,1610,2,1.0,[4],B,None,False
1611,1611,2,1.0,[4],B,None,False
1612,1612,2,0.9544340029249649,[5],A,None,False
1613,1613,2,0.9544340029249649,[5],B,None,False
1614,1614,2,0.5435644431995964,[5],A,B,False
1615,1615,2,1.0,[4],A,None,False
1616,1616,2,0.9544340029249649,[5],B,None,False
1617,1617,2,0.9544340029249649,[5],B,None,False
1618,1618,2,0.8112781244591328,[5],B,A,False
1619,1619,2,1.0,[4],B,None,False
1620,1620,2,0.8112781244591328,[5],B,A,False
1621,1621,1,0.8112781244591328,[3],A,B,True
1622,1622,1,0.8112781244591328,[3],B,A,True
1623,1623,2,0.8112781244591328,[5],B,A,False
1624,1624,1,0.8112781244591328,[3],B,A,True
1625,1625,2,0.5435644431995964,[5],B,A,False
1626,1626,2,1.0,[4],B,None,False
1627,1627,2,1.0,[4],B,None,False
1628,1628,2,1.0,[4],B,None,False
1629,1629,2,1.0,[4],B,None,False
1630,1630,2,1.0,[4],B,None,False
1631,1631,2,1.0,[4],B,None,False
1632,1632,2,1.0,[4],B,None,False
1633,1633,2,1.0,[4],B,None,False
1634,1634,2,1.0,[4],B,None,False
1635,1635,2,1.0,[4],B,None,False
1636,1636,2,1.0,[4],B,None,False
1637,1637,2,1.0,[4],B,None,False
1638,1638,2,1.0,[4],B,None,False
1639,1639,1,0.8112781244591328,[3],A,B,True
1640,1640,2,0.8112781244591328,[5],A,B,False
1641,1641,2,1.0,[4],B,None,False
1642,1642,2,0.9544340029249649,[5],B,None,False
1643,1643,2,0.5435644431995964,[5],B,A,False
1644,1644,2,1.0,[4],B,None,False
1645,1645,2,0.9544340029249649,[5],B,None,False
1646,1646,2,1.0,[4],A,None,False
1647,1647,2,1.0,[4],A,None,False
1648,1648,2,1.0,[4],A,None,False
1649,1649,2,1.0,[4],A,None,False
1650,1650,2,0.8112781244591328,[5],A,None,False
1651,1651,2,0.5435644431995964,[5],A,B,True
1652,1652,2,0.5435644431995964,[5],A,B,False
1653,1653,2,0.5435644431995964,[5],A,B,False
1654,1654,2,0.5435644431995964,[5],B,A,False
1655,1655,2,1.0,[4],B,None,False
1656,1656,2,1.0,[4],None,None,False
1657,1657,2,0.9544340029249649,[5],B,None,False
1658,1658,2,1.0,[4],B,None,False
1659,1659,2,1.0,[4],B,None,False
1660,1660,2,1.0,[4],B,None,False
1661,1661,2,1.0,[5],B,None,False
1662,1662,1,0.8112781244591328,[3],B,A,True
1663,1663,2,0.5435644431995964,[5],B,A,False
1664,1664,2,0.5435644431995964,[5],B,A,False
1665,1665,2,1.0,[4],None,None,False
1666,1666,2,0.5435644431995964,[5],A,B,False
1667,1667,0,1.0,[],None,None,False
1668,1668,2,0.5435644431995964,[5],B,A,False
1669,1669,2,0.5435644431995964,[5],A,B,False
1670,1670,2,0.9544340029249649,[5],A,None,False
1671,1671,2,0.9544340029249649,[5],B,A,False
1672,1672,2,1.0,[4],B,None,False
1673,1673,2,0.5435644431995964,[5],A,B,False
1674,1674,2,1.0,[4],B,None,False
1675,1675,2,1.0,[4],B,None,False
1676,1676,2,1.0,[4],B,None,False
1677,1677,2,1.0,[4],B,None,False
1678,1678,2,1.0,[4],B,None,False
1679,1679,2,1.0,[4],B,None,False
1680,1680,2,1.0,[4],B,None,False
1681,1681,2,1.0,[4],B,None,False
1682,1682,2,1.0,[4],B,None,False
1683,1683,2,1.0,[4],None,None,False
1684,1684,2,1.0,[4],None,None,False
1685,1685,2,1.0,[4],None,None,False
1686,1686,1,0.8112781244591328,[3],B,A,True
1687,1687,2,0.5435644431995964,[5],A,B,False
1688,1688,2,1.0,[4],None,None,False
1689,1689,2,1.0,[4],B,None,False
1690,1690,2,0.5435644431995964,[5],B,A,False
1691,1691,2,1.0,[4],None,None,False
1692,1692,2,0.9544340029249649,[5],A,B,False
1693,1693,2,1.0,[4],None,None,False
1694,1694,2,1.0,[4],B,None,False
1695,1695,2,0.9544340029249649,[5],B,A,False
1696,1696,2,1.0,[4],None,None,False
1697,1697,2,1.0,[4],B,None,False
1698,1698,2,1.0,[4],B,None,False
1699,1699,2,0.5435644431995964,[5],A,B,False
1700,1700,2,0.9544340029249649,[5],B,None,False
1701,1701,2,1.0,[4],B,None,False
1702,1702,2,1.0,[4],B,None,False
1703,1703,2,1.0,[4],B,None,False
1704,1704,1,0.8112781244591328,[3],A,B,True
1705,1705,1,0.8112781244591328,[3],A,B,True
1706,1706,2,0.9544340029249649,[5],B,None,False
1707,1707,2,0.5435644431995964,[5],A,B,False
1708,1708,2,1.0,[4],A,None,False
1709,1709,2,1.0,[4],B,None,False
1710,1710,2,1.0,[4],B,None,False
1711,1711,2,0.9544340029249649,[5],B,None,False
1712,1712,2,1.0,[4],A,None,False
1713,1713,2,0.5435644431995964,[5],B,A,False
1714,1714,2,0.5435644431995964,[5],B,A,True
1715,1715,2,0.9544340029249649,[5],B,A,False
1716,1716,2,1.0,[4],A,None,False
1717,1717,2,0.8112781244591328,[5],B,None,False
1718,1718,2,1.0,[4],None,None,False
1719,1719,2,0.8112781244591328,[5],A,None,False
1720,1720,2,0.5435644431995964,[5],A,B,False
1721,1721,2,1.0,[4],None,None,False
