,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
8271,8271,2,0.9544340029249649,[5],['B'],A,False,None,1,8271,"((((A,(B)#R1))#R0,(#H0,#H1)))"
8272,8272,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8272,"(((((A)#R0,#H1),#H0),(B)#R1))"
8273,8273,2,1.0,[4],[],None,False,None,0,8273,"((((((B,A))#R1)#R0,#H1),#H0))"
8274,8274,2,0.5435644431995964,[5],['A'],B,False,None,1,8274,"((((A)#R1)#R0,((B,#H1),#H0)))"
8275,8275,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,8275,"(((A)#R1,((B)#R0,(#H0,#H1))))"
8276,8276,2,0.8112781244591328,[5],['B'],A,False,B,0,8276,"(((((B)#R1)#R0,#H1),(A,#H0)))"
8277,8277,2,0.8112781244591328,[5],['B'],A,False,B,0,8277,"(((((B)#R1)#R0,#H1),(A,#H0)))"
8278,8278,2,0.5435644431995964,[5],['A'],B,False,None,1,8278,"(((((A)#R1)#R0,(B,#H1)),#H0))"
8279,8279,2,1.0,[4],[],None,False,None,0,8279,"(((((A,B))#R1)#R0,(#H0,#H1)))"
8280,8280,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,8280,"((((B)#R0,((A)#R1,#H0)),#H1))"
8281,8281,2,0.8112781244591328,[5],['B'],A,False,B,0,8281,"(((((B)#R0)#R1,#H0),(A,#H1)))"
8282,8282,2,0.5435644431995964,[5],['B'],A,False,None,0,8282,"((((A,((B)#R1)#R0),#H1),#H0))"
8283,8283,2,0.5435644431995964,[5],['A'],B,False,None,0,8283,"((((B,#H0),(A)#R1),(#H1)#R0))"
8284,8284,2,0.5435644431995964,[5],['B'],A,True,None,0,8284,"(((((B)#R0)#R1,(A,#H1)),#H0))"
8285,8285,2,0.9544340029249649,[5],['B'],A,False,None,1,8285,"((((A,(B)#R1))#R0,(#H0,#H1)))"
8286,8286,2,1.0,[4],['A'],None,False,A,0,8286,"((B,(((A)#R0,(#H0)#R1),#H1)))"
8287,8287,2,0.5435644431995964,[5],['B'],A,False,None,1,8287,"(((((B)#R1)#R0,(A,#H1)),#H0))"
8288,8288,2,0.8112781244591328,[5],['B'],None,False,B,0,8288,"(((#H0)#R1,(((B)#R0,#H1),A)))"
8289,8289,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,8289,"(((((A)#R0,(B)#R1),#H0),#H1))"
8290,8290,2,0.8112781244591328,[5],['A'],B,False,A,0,8290,"(((((A)#R1)#R0,#H1),(B,#H0)))"
8291,8291,2,0.8112781244591328,[5],['A'],B,False,A,0,8291,"(((#H0,#H1),(((A)#R1)#R0,B)))"
8292,8292,2,1.0,[4],['B'],None,False,B,0,8292,"(((((B)#R0)#R1,(#H0,#H1)),A))"
8293,8293,2,1.0,[4],['B'],None,False,B,0,8293,"((A,((((B)#R0)#R1,#H0),#H1)))"
8294,8294,2,0.5435644431995964,[5],['B'],A,False,None,1,8294,"((((#H0)#R1,(A,(B)#R0)),#H1))"
8295,8295,2,0.5435644431995964,[5],['A'],B,True,None,0,8295,"(((((A)#R1)#R0,(B,#H0)),#H1))"
8296,8296,2,0.9544340029249649,[5],['A'],B,False,None,1,8296,"((((A)#R0,((B,#H0))#R1),#H1))"
8297,8297,2,0.9544340029249649,[5],['A'],B,False,None,1,8297,"(((((B,#H0))#R1,(A)#R0),#H1))"
