Iteration;Newick
310;((((((B)#R1)#R0,A),#H0),#H1));
311;(((((B)#R1)#R0,#H1),(A,#H0)));
312;(((((A)#R0)#R1,#H0),(B,#H1)));
313;(((B,#H0),(((A)#R1)#R0,#H1)));
314;(((B,((#H0)#R1,(A)#R0)),#H1));
315;(((#H1)#R0,((B,(A)#R1),#H0)));
316;(((((B,A))#R0,(#H0)#R1),#H1));
317;(((A)#R0,((B,(#H0)#R1),#H1)));
318;(((#H0)#R1,(((A)#R0,B),#H1)));
319;(((#H0,#H1),(A,((B)#R0)#R1)));
320;((((A)#R0)#R1,((B,#H1),#H0)));
321;(((((B,#H1))#R0,(A)#R1),#H0));
322;((A,(((B)#R1)#R0,(#H0,#H1))));
323;((A,((#H0)#R1,((B)#R0,#H1))));
324;((((B)#R1,(#H0,#H1)),(A)#R0));
325;(((((A)#R1)#R0,#H1),(B,#H0)));
326;(((((A)#R1)#R0,#H1),(B,#H0)));
327;(((A)#R1,((#H1)#R0,(B,#H0))));
328;(((A,#H1),(((B)#R0)#R1,#H0)));
329;((((((B)#R0)#R1,A),#H0),#H1));
330;((((B)#R1)#R0,((A,#H1),#H0)));
331;((((B)#R1,((A,#H1))#R0),#H0));
332;((((A)#R0)#R1,((B,#H0),#H1)));
333;((((A,((B)#R1)#R0),#H1),#H0));
334;((((((B)#R0)#R1,#H0),A),#H1));
335;(((#H0,#H1),(((A)#R1,B))#R0));
336;(((((B,#H0))#R1,(A)#R0),#H1));
337;(((B,#H1),(((A)#R0)#R1,#H0)));
338;((((B,#H1),#H0),((A)#R1)#R0));
339;((((A)#R1,(B)#R0),(#H0,#H1)));
340;((((#H1)#R0,((A)#R1,#H0)),B));
341;(((((B,A))#R0,(#H0)#R1),#H1));
342;(((((A,#H0))#R1,(B)#R0),#H1));
343;((((((A)#R0)#R1,B),#H0),#H1));
344;((((A,#H0))#R1,((B)#R0,#H1)));
345;(((B)#R0,((#H0)#R1,(A,#H1))));
