Iteration;Newick
349;((((B)#R1,(#H1)#R0),(A,#H0)));
350;((((B)#R1,#H0),((A)#R0,#H1)));
351;(((B,((#H0)#R1,(A)#R0)),#H1));
352;((((((B,A))#R0)#R1,#H0),#H1));
353;((((A,((B)#R1)#R0),#H0),#H1));
354;((A,((((B)#R1)#R0,#H1),#H0)));
355;(((((B,A))#R1,(#H1)#R0),#H0));
356;(((((B)#R0,(A)#R1),#H0),#H1));
357;(((((B,#H1))#R0,(A)#R1),#H0));
358;(((((A)#R0,B))#R1,(#H0,#H1)));
359;(((((B)#R0)#R1,#H0),(A,#H1)));
360;((((A)#R0)#R1,(B,(#H0,#H1))));
361;(((#H1)#R0,(A,((B)#R1,#H0))));
362;(((((B,A))#R0,(#H0)#R1),#H1));
363;(((((B,A))#R0)#R1,(#H0,#H1)));
364;(((B,((A)#R0,(#H0)#R1)),#H1));
365;(((#H0)#R1,(((B)#R0,A),#H1)));
366;((B,(((A)#R0)#R1,(#H0,#H1))));
367;(((#H1)#R0,((A)#R1,(B,#H0))));
368;(((((A)#R0)#R1,(B,#H0)),#H1));
369;(((#H1)#R0,(B,((A)#R1,#H0))));
370;(((((B)#R1)#R0,(A,#H1)),#H0));
371;((((((B)#R0)#R1,A),#H0),#H1));
372;(((((A)#R1)#R0,B),(#H0,#H1)));
373;((((B)#R1)#R0,((A,#H1),#H0)));
374;((((B)#R0,#H1),((A,#H0))#R1));
375;((((A,#H1))#R0,((B)#R1,#H0)));
376;((((A,(B)#R1))#R0,(#H0,#H1)));
377;(((#H1)#R0,(((B,A))#R1,#H0)));
378;((((((A)#R0)#R1,#H0),B),#H1));
379;(((A,#H1),((B)#R0,(#H0)#R1)));
380;(((A)#R0,(((B)#R1,#H0),#H1)));
381;(((((A,B))#R1)#R0,(#H0,#H1)));
382;(((B)#R1,((A)#R0,(#H0,#H1))));
383;(((A)#R0,((B)#R1,(#H0,#H1))));
384;((((((B)#R0)#R1,A),#H1),#H0));
385;(((((B)#R0)#R1,(A,#H0)),#H1));
386;((((A)#R0,(#H0)#R1),(B,#H1)));
387;((((A,#H0))#R1,((B)#R0,#H1)));
