,index,retics,balance,blob_sizes,leaf_under_reticulation_list,leaf_with_sibling_retic_list,leaf_on_side_of_triangle_list,has_leaf_on_bottom_of_triangle,reticulated_cherries,Iteration,Newick
9272,9272,2,1.0,[5],"['A', 'B']",None,False,None,0,9272,"(((#H0,#H1),((A)#R1,(B)#R0)))"
9273,9273,2,0.5435644431995964,[5],['A'],B,False,None,0,9273,"((((A)#R1)#R0,((B,#H0),#H1)))"
9274,9274,2,0.8112781244591328,[5],['A'],None,False,A,0,9274,"((((A)#R1)#R0,((#H0,#H1),B)))"
9275,9275,2,0.5435644431995964,[5],['A'],B,False,None,0,9275,"((((((A)#R1)#R0,B),#H1),#H0))"
9276,9276,2,0.5435644431995964,[5],['A'],B,False,None,0,9276,"((((A)#R1)#R0,((B,#H0),#H1)))"
9277,9277,2,0.5435644431995964,[5],['B'],A,False,None,1,9277,"(((((B)#R1)#R0,(A,#H1)),#H0))"
9278,9278,2,0.8112781244591328,[5],['A'],None,False,A,0,9278,"(((B,(((A)#R1)#R0,#H1)),#H0))"
9279,9279,2,0.9544340029249649,[5],['B'],A,False,None,1,9279,"(((((A,(B)#R1))#R0,#H1),#H0))"
9280,9280,2,1.0,[4],[],None,False,None,0,9280,"((((((A,B))#R1)#R0,#H1),#H0))"
9281,9281,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9281,"(((((B)#R0,(A)#R1),#H0),#H1))"
9282,9282,2,0.9544340029249649,[5],['B'],A,False,None,1,9282,"((((A,#H0))#R1,((B)#R0,#H1)))"
9283,9283,2,1.0,[4],['B'],None,False,B,0,9283,"((A,((#H0)#R1,((B)#R0,#H1))))"
9284,9284,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9284,"(((((A)#R1,(B)#R0),#H1),#H0))"
9285,9285,2,0.5435644431995964,[5],['B'],A,False,None,0,9285,"((((((B)#R0)#R1,A),#H0),#H1))"
9286,9286,2,1.0,[4],['B'],None,False,B,0,9286,"((A,(((B)#R0)#R1,(#H0,#H1))))"
9287,9287,2,1.0,[5],"['A', 'B']",None,False,None,0,9287,"((((B)#R1,(A)#R0),(#H0,#H1)))"
9288,9288,2,0.8112781244591328,[5],['B'],None,False,B,0,9288,"(((((B)#R0,(#H0)#R1),A),#H1))"
9289,9289,2,1.0,[4],['B'],None,False,B,0,9289,"((A,(((B)#R0)#R1,(#H0,#H1))))"
9290,9290,2,1.0,[4],[],None,False,None,0,9290,"(((((A,B))#R0)#R1,(#H0,#H1)))"
9291,9291,2,0.9544340029249649,[5],['A'],B,False,None,1,9291,"(((((B,#H0))#R1,(A)#R0),#H1))"
9292,9292,2,1.0,[4],[],None,False,None,0,9292,"(((#H0)#R1,(((A,B))#R0,#H1)))"
9293,9293,2,0.5435644431995964,[5],['B'],A,True,None,0,9293,"(((B)#R1,((A,(#H1)#R0),#H0)))"
9294,9294,2,0.5435644431995964,[5],['B'],A,False,None,1,9294,"(((((B)#R1)#R0,(A,#H1)),#H0))"
9295,9295,2,0.8112781244591328,[5],['B'],None,False,B,0,9295,"(((A,(((B)#R1)#R0,#H1)),#H0))"
9296,9296,2,0.5435644431995964,[5],['A'],B,False,None,0,9296,"((((A)#R0)#R1,((B,#H1),#H0)))"
9297,9297,2,0.5435644431995964,[5],['B'],A,False,None,1,9297,"((((B)#R0)#R1,((A,#H0),#H1)))"
9298,9298,2,0.8112781244591328,[5],['B'],None,False,B,0,9298,"((((((B)#R1)#R0,#H1),A),#H0))"
9299,9299,2,0.5435644431995964,[5],['B'],A,False,None,1,9299,"((((B)#R0)#R1,((A,#H0),#H1)))"
9300,9300,2,0.5435644431995964,[5],['B'],A,False,None,0,9300,"((((((B)#R1)#R0,A),#H1),#H0))"
9301,9301,2,0.5435644431995964,[5],['A'],B,False,None,0,9301,"((((A)#R1)#R0,((B,#H0),#H1)))"
9302,9302,2,0.8112781244591328,[5],['A'],None,False,A,0,9302,"(((B,((#H1)#R0,(A)#R1)),#H0))"
9303,9303,2,1.0,[4],[],None,False,None,0,9303,"(((((B,A))#R0,(#H0)#R1),#H1))"
9304,9304,2,0.8112781244591328,[5],['B'],A,False,B,0,9304,"(((((B)#R0)#R1,#H0),(A,#H1)))"
9305,9305,2,0.5435644431995964,[5],['B'],A,True,None,0,9305,"((((A,((B)#R1)#R0),#H0),#H1))"
9306,9306,2,0.5435644431995964,[5],['A'],B,True,None,0,9306,"((((((A)#R0)#R1,B),#H1),#H0))"
9307,9307,2,0.5435644431995964,[5],['B'],A,False,None,1,9307,"(((((B)#R1)#R0,(A,#H1)),#H0))"
9308,9308,2,1.0,[4],['B'],None,False,B,0,9308,"((((((B)#R1)#R0,#H1),#H0),A))"
9309,9309,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9309,"(((B)#R1,(((A)#R0,#H1),#H0)))"
9310,9310,2,0.5435644431995964,[5],['A'],B,False,None,1,9310,"((((#H0)#R1,((A)#R0,B)),#H1))"
9311,9311,2,0.5435644431995964,[5],['A'],B,True,None,0,9311,"((((B,(#H0)#R1),#H1),(A)#R0))"
9312,9312,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9312,"(((A)#R1,((B)#R0,(#H0,#H1))))"
9313,9313,2,0.5435644431995964,[5],['B'],A,False,None,0,9313,"((((A,((B)#R0)#R1),#H0),#H1))"
9314,9314,2,0.9544340029249649,[5],"['A', 'B']",None,False,B,0,9314,"(((A)#R0,((B)#R1,(#H0,#H1))))"
9315,9315,2,0.5435644431995964,[5],['B'],A,True,None,0,9315,"(((((B)#R0)#R1,(A,#H1)),#H0))"
9316,9316,2,1.0,[4],['B'],None,False,B,0,9316,"((A,(((B)#R0)#R1,(#H0,#H1))))"
9317,9317,2,0.8112781244591328,[5],['A'],None,False,A,0,9317,"((((A)#R1)#R0,(B,(#H0,#H1))))"
9318,9318,2,0.9544340029249649,[5],"['A', 'B']",None,False,A,0,9318,"(((B)#R1,(((A)#R0,#H1),#H0)))"
9319,9319,2,0.5435644431995964,[5],['A'],B,True,None,0,9319,"((((B,((A)#R0)#R1),#H1),#H0))"
9320,9320,2,0.5435644431995964,[5],['B'],A,False,None,0,9320,"((((A,#H1),#H0),((B)#R0)#R1))"
9321,9321,2,0.9544340029249649,[5],['A'],B,False,None,1,9321,"((((((A)#R0,B))#R1,#H0),#H1))"
9322,9322,2,1.0,[4],['A'],None,False,A,0,9322,"((B,((#H1)#R0,((A)#R1,#H0))))"
9323,9323,2,0.8112781244591328,[5],['B'],A,False,B,0,9323,"(((((B)#R0)#R1,A),(#H0,#H1)))"
9324,9324,2,0.9544340029249649,[5],['B'],A,False,None,1,9324,"((((A,(B)#R0))#R1,(#H0,#H1)))"
9325,9325,2,0.5435644431995964,[5],['B'],A,False,None,1,9325,"(((((B)#R1)#R0,(A,#H1)),#H0))"
9326,9326,2,1.0,[4],['B'],None,False,B,0,9326,"(((((B)#R1)#R0,(#H0,#H1)),A))"
9327,9327,2,0.5435644431995964,[5],['A'],B,False,None,1,9327,"((((A)#R0)#R1,((B,#H0),#H1)))"
9328,9328,2,1.0,[5],"['A', 'B']",None,False,None,0,9328,"((((A)#R1,#H0),((B)#R0,#H1)))"
9329,9329,2,1.0,[4],['A'],None,False,A,0,9329,"(((((A)#R1,(#H1)#R0),#H0),B))"
9330,9330,2,1.0,[5],"['A', 'B']",None,False,None,0,9330,"((((A)#R0,(B)#R1),(#H0,#H1)))"
9331,9331,2,0.9544340029249649,[5],['B'],A,False,None,1,9331,"((((B)#R0,((A,#H0))#R1),#H1))"
9332,9332,2,1.0,[4],['B'],None,False,B,0,9332,"((A,(((#H0)#R1,(B)#R0),#H1)))"
9333,9333,2,1.0,[4],[],None,False,None,0,9333,"(((((B,A))#R0,#H1),(#H0)#R1))"
